id,price
188533,16748.129
188534,62316.46
188535,48910.836
188536,26211.287
188537,29388.273
188538,15350.374
188539,9343.943
188540,39470.74
188541,68096.766
188542,26711.082
188543,16339.934
188544,10660.998
188545,43543.496
188546,96904.16
188547,15967.632
188548,86768.78
188549,19570.26
188550,9177.033
188551,70345.82
188552,51049.81
188553,62567.695
188554,21638.682
188555,38677.418
188556,19265.674
188557,18235.766
188558,59925.438
188559,26379.53
188560,12068.126
188561,65453.676
188562,22161.59
188563,81284.83
188564,30764.947
188565,33384.973
188566,28101.975
188567,11840.216
188568,41837.094
188569,18733.416
188570,13772.957
188571,30024.691
188572,85508.164
188573,18891.207
188574,30082.76
188575,41023.668
188576,31927.88
188577,10409.111
188578,28022.037
188579,38425.21
188580,41736.79
188581,85100.5
188582,22582.4
188583,94875.016
188584,30168.318
188585,35548.355
188586,30387.072
188587,53151.49
188588,23145.879
188589,15509.457
188590,19419.518
188591,25826.389
188592,35388.97
188593,30695.547
188594,63544.938
188595,23848.834
188596,43770.24
188597,27107.541
188598,25177.188
188599,14937.419
188600,46997.633
188601,49265.97
188602,35548.625
188603,125219.74
188604,9466.592
188605,31659.752
188606,37124.832
188607,59106.7
188608,16355.961
188609,50636.598
188610,35247.234
188611,19648.355
188612,64222.1
188613,22311.008
188614,17313.637
188615,30856.945
188616,53280.7
188617,40087.188
188618,19079.213
188619,73558.57
188620,9733.675
188621,21844.053
188622,110810.695
188623,49416.355
188624,39854.4
188625,20456.188
188626,10544.726
188627,75982.57
188628,69602.086
188629,16294.8545
188630,27002.63
188631,64915.152
188632,46741.02
188633,52727.4
188634,7175.1904
188635,15870.97
188636,54348.93
188637,8551.619
188638,25467.652
188639,24453.24
188640,9785.051
188641,25926.852
188642,10467.066
188643,75660.73
188644,83520.04
188645,53436.254
188646,7735.0107
188647,14515.24
188648,26344.406
188649,39165.406
188650,83126.53
188651,42848.883
188652,51982.906
188653,64014.14
188654,8942.307
188655,15818.763
188656,25592.824
188657,36210.58
188658,9365.694
188659,47640.184
188660,11193.042
188661,61088.312
188662,8488.882
188663,15987.105
188664,73461.26
188665,115439.7
188666,25715.791
188667,9978.966
188668,14509.385
188669,25812.795
188670,55597.68
188671,21068.756
188672,17063.918
188673,53451.7
188674,10959.8545
188675,28676.303
188676,41448.34
188677,7664.262
188678,30176.115
188679,36102.96
188680,51056.137
188681,11176.626
188682,13430.484
188683,9981.213
188684,66057.25
188685,39567.484
188686,93023.55
188687,18564.408
188688,37105.188
188689,10576.036
188690,24930.732
188691,32407.883
188692,26351.117
188693,10928.939
188694,14536.738
188695,17674.473
188696,67547.88
188697,27273.055
188698,9249.53
188699,55403.473
188700,86785.75
188701,27203.75
188702,12588.349
188703,83360.81
188704,45652.17
188705,20631.87
188706,70332.4
188707,8362.552
188708,12756.392
188709,11579.978
188710,18083.451
188711,29583.54
188712,46451.863
188713,37040.414
188714,20695.127
188715,38327.453
188716,52192.035
188717,9144.343
188718,13590.483
188719,18557.396
188720,15717.274
188721,63414.414
188722,50845.887
188723,22861.783
188724,23267.71
188725,10459.233
188726,36919.484
188727,10726.655
188728,50151.395
188729,15931.371
188730,53621.46
188731,55816.77
188732,33992.918
188733,18248.291
188734,10105.525
188735,6755.7266
188736,7824.0093
188737,84657.484
188738,53570.35
188739,39500.3
188740,73646.45
188741,36458.992
188742,21788.398
188743,20644.467
188744,70388.16
188745,52388.965
188746,32890.055
188747,33385.324
188748,17350.248
188749,46447.215
188750,8394.81
188751,42526.742
188752,89217.41
188753,8084.0503
188754,33837.86
188755,51199.88
188756,29896.629
188757,20755.252
188758,10258.997
188759,16622.186
188760,10384.363
188761,33048.3
188762,41162.156
188763,32352.793
188764,12645.925
188765,52133.734
188766,29065.482
188767,9115.938
188768,30413.426
188769,53665.406
188770,43666.637
188771,12384.417
188772,7184.256
188773,37448.383
188774,43252.586
188775,42338.816
188776,9980.451
188777,18668.873
188778,22435.36
188779,70676.87
188780,53197.527
188781,75147.0
188782,13558.146
188783,13469.903
188784,35772.605
188785,22589.791
188786,33913.586
188787,8330.141
188788,11473.523
188789,44427.605
188790,12925.164
188791,7472.283
188792,61647.16
188793,13933.288
188794,9817.635
188795,44708.04
188796,22410.512
188797,67189.71
188798,16536.297
188799,14812.188
188800,48642.06
188801,39279.754
188802,25974.021
188803,80689.58
188804,9271.627
188805,11312.504
188806,75856.88
188807,40580.383
188808,53270.793
188809,33104.355
188810,15293.866
188811,47801.242
188812,16798.645
188813,9552.876
188814,39026.594
188815,13218.685
188816,34488.74
188817,26379.707
188818,35962.04
188819,40223.098
188820,38359.414
188821,29000.387
188822,19590.707
188823,41344.434
188824,8575.875
188825,16959.195
188826,8840.132
188827,31850.725
188828,25587.992
188829,8401.834
188830,48799.156
188831,55481.89
188832,9877.27
188833,24695.162
188834,27093.48
188835,20797.912
188836,24706.777
188837,44037.54
188838,11275.903
188839,13283.817
188840,26176.863
188841,56411.9
188842,14077.793
188843,43297.74
188844,34437.727
188845,20488.303
188846,33026.754
188847,58670.953
188848,9998.39
188849,26804.889
188850,69210.24
188851,101230.08
188852,70390.78
188853,14684.647
188854,17022.324
188855,51101.785
188856,107829.89
188857,84404.195
188858,44001.14
188859,36609.438
188860,7228.074
188861,23430.865
188862,95048.08
188863,23649.75
188864,24646.602
188865,20292.273
188866,42896.97
188867,14427.329
188868,88689.734
188869,21884.191
188870,7745.2856
188871,9515.996
188872,40590.1
188873,38620.4
188874,37994.6
188875,16637.346
188876,24128.37
188877,37600.367
188878,64357.414
188879,79760.54
188880,41191.1
188881,10192.197
188882,36439.773
188883,32870.49
188884,71237.64
